Película,Estreno,Presupuesto (en USD),Recaudación USA (USD),Recaudación internacional (USD),Recaudación mundial (USD)
Harry Potter y la piedra filosofal,16-11-2001,125000000,317575550,657179821,974755371
Harry Potter y la cámara secreta,15-11-2002,100000000,261988482,616991152,878979634
Harry Potter y el prisionero de Azkaban,04-06-2004,130000000,249541069,547147480,796688549
Harry Potter y el cáliz de fuego,18-11-2005,150000000,290013036,606898042,896911078
Harry Potter y la Orden del Fénix,11-07-2007,150000000,292004738,647881191,939885929
Harry Potter y el misterio del príncipe,15-07-2009,250000000,301959197,632457290,934416487
Harry Potter y las reliquias de la Muerte: parte 1,19-11-2010,250000000,295983305,664300000,960283305
Harry Potter y las reliquias de la Muerte: parte 2,15-07-2011,381011219,960500000,1341511219,2302011219
